adjective,race,character_class,Origin,Who,Sentimental magic item d100,Magical item,atmosphere,place,primary,secondary,villain_Trait,game_starts,twist
brave,Genasi,Rogue,a weeping forest,cant resist a good dare,A comb that when combed through hair braids it into an fashionable design. Commissioned for a dwarf who wanted his beard to look stylish.,"Bead of Force
This small black Sphere measures 3/4 of an inch in diameter and weighs an ounce. Typically, 1d4 + 4 beads of force are found together.

You can use an action to throw the bead up to 60 feet. The bead explodes on impact and is destroyed. Each creature within a 10-foot radius of where the bead landed must succeed on a DC 15 Dexterity saving throw or take 5d4 force damage. A Sphere of transparent force then encloses the area for 1 minute. Any creature that failed the save and is completely within the area is trapped inside this Sphere. Creatures that succeeded on the save, or are partially within the area, are pushed away from the center of the Sphere until they are no longer inside it. Only breathable air can pass through the spheres wall. No Attack or other Effect can.

An enclosed creature can use its action to push against the spheres wall, moving the Sphere up to half the creatures walking speed. The Sphere can be picked up, and its magic causes it to weigh only 1 pound, regardless of the weight of creatures inside.",scorching,wasteland,a wide open field,a field of yellow clover,"This villain is obsessed with nature. They dress like a druid, and fashion their house and home in nature-themed decor.","A strange plague has run rampant through the town, turning nearly everyone to stone. Your party were unaffected and meet in the silent inn, filled with statues.",Genre switch. Reroll: https://perchance.org/storygenreideasgen
businesslike,Gith,Sorcerer,a small town hidden behind a waterfall,cant stop flirting,A copper horn that allows the user have advantage to perception rolls based on hearing when used. Made for an aging grandmother so that she could hear her grand kids better.,"Belt of Dwarvenkind
Requires Attunement

While wearing this belt, you gain the following benefits:

• Your Constitution score increases by 2, to a maximum of 20.

• You have advantage on Charisma (Persuasion) checks made to interact with Dwarves.

In addition, while attuned to the belt, you have a 50 percent chance each day at dawn of growing a full beard if youre capable of growing one, or a visibly thicker beard if you already have one.

If you arent a dwarf, you gain the following additional benefits while wearing the belt:

• You have advantage on Saving Throws against poison, and you have Resistance against poison damage.

• You have Darkvision out to a range of 60 feet.

• You can speak, read, and write Dwarvish.",pleasant,tundra,a high mountain,countless tiny sharp crystals,This villain is strangely superstitious. They will throw away entire plans simply because of a small belief or superstition.,Each party member is being blackmailed (using their respective bonds). The blackmailer has gathered them together with the offer of a score big enough to wipe away their debt.,The PCs are magically transported to a new location. Roll here: https://www.kassoon.com/dnd/interesting-locations/
busy,Gnome,Warlock,the Feywild,dreams of fame and glory,A Copper ring that lightly squeezes the wearers finger when they forget something. Made for a forgetfully librarian.,"Binding Light Hammer (Rare)
When you hit a creature with this weapon, the ground beneath binds to its feet, slowing its speed by 5 feet until the end of its next turn. This has no effect on creatures that are flying or swimming.
Anytime you deal lightning damage, the amount of lightning damage dealt is increased by +1d10.",dreamy,swamp,a cave,dead vegetation in heaping mounds,"This villain is strangely nice, and treats their employees with the utmost respect.","The inn the characters are staying at is shockingly packed. They are forced to share a table. A local tough claims it is her reserved table and demands the party leave, or face her gang...",A PCs Sentimental Item is actually the key to a legendary weapon.
calm,Goblin,Wizard,a prestigious academic institution,has a dapper hat collection,A copper studded head band that soothes head pain when worn. Made for an elf who suffered from chronic migraines.,"Boots of the Tracker (Common)
The bearer gains a +1 to Wisdom (Survival) checks.",,,a volcano,a wide rushing river,This villain demands utter loyalty from their minions. Anything less results in death.,The party each owe an important debt to another party member (have them work out whom owes whom).,The party finds evidence that theyve somehow traveled through time and this new location is actually their old home many years in the future.
careful,Goliath,,a travelling circus,has a terrible fear of spiders,A custom made sand paper block that has a dial on the back that adjusts the grain size of the paper without having to physically change it out. Commissioned by a wood worker as a gift to his son and his up and coming business.,"Bowl of Commanding Water Elementals
While this bowl is filled with water, you can use an action to speak the bowls Command word and summon a Water Elemental, as if you had cast the Conjure Elemental spell. The bowl cant be used this way again until the next dawn.

The bowl is about 1 foot in diameter and half as deep. It weighs 3 pounds and holds about 3 gallons.",,,something large embedded in the ground,a meandering stream,"This villain is lustful, and surrounds themselves with concubines (who are secretly bodyguards as well).",The party are stuck in the cellar of an evil wizard. Each of them (for their own purposes) attempted to break into the tower and were caught by security.,A being that has been terrorizing a town is actually a person trapped in the Shadowfell that sees everyone else as ghosts.
casual,Grung,,a small town that is constantly renamed,hates making choices,A dark red cloak with an extra long flap in the back that will bend and stiffen into a functional chair when the wearer tries to sit down. Made for a wizard that had difficulty walking across town without breaks.,"Brooch of Shielding
Requires Attunement

While wearing this brooch, you have Resistance to force damage, and you have immunity to damage from the Magic Missile spell.
",,,something looming on the horizon,a hotspring,This villain is obsessed with gold. ,"Each party member has been having strange, recurring dreams involving the party as great heroes. They have never met each other before- until this chance meeting on the road...",Successfully completing their quest actually triggers an apocalyptic event.
catty,Half-Elf,,an underwater kingdom,is a brat,A deck of cards that shuffles itself when tapped twice. Made for a tavern owner so that customers wouldnt claim cheating from each other.,"Cloak of Adamantine (Common)
The item is indestructible.",,,,an oasis,"This villain envies those who are more competent than themself, and seeks to sabotage them.","The party wakes up chained to each other in a sandstone room with a portcullis to one side letting in a very bright light, the sound of thousands of people cheering right above them. It takes them a second to process that theyre about to fight another party/a giant creature in gladiatatorial combat.",The person who gave the quest is actually the mother of the quests target.
cerebral,Half-Orc,,the Queens entourage,is a nudist,A fashionable and large hat that cloaks the user in shadow. Made as a wedding gift to a drow bride moving to the surface.,"Decanter of Endless Water
This stoppered flask sloshes when shaken, as if it contains water. The decanter weighs 2 pounds.

You can use an action to remove the stopper and speak one of three Command words, whereupon an amount of fresh water or salt water (your choice) pours out of the flask. The Water stops pouring out at the start of your next turn. Choose from the following options:

• ""Stream"" produces 1 gallon of water.

• ""Fountain"" produces 5 gallons of water.

• ""Geyser"" produces 30 gallons of water that gushes forth in a geyser 30 feet long and 1 foot wide. As a Bonus Action while holding the decanter, you can aim the geyser at a creature you can see within 30 feet of you. The target must succeed on a DC 13 Strength saving throw or take 1d4 bludgeoning damage and fall prone. Instead of a creature, you can target an object that isnt being worn or carried and that weighs no more than 200 pounds. The object is either knocked over or pushed up to 15 feet away from you.",,,,,The villain believes they are born of a god.,Youre all at a funeral when the deceased comes back to life and lunges at the grieving family.,The Big Bad is a PCs long lost love.
charming,Halfling,,a boarding school for entitled youth,is a Virgo,A feathered cap whose feather is a quill that can write 5 pages of notes. The feather disappears after an hour and a new feather grows from the cap. Made by a wizard for his forgetful apprentice who would always lose or forget his pen.,"Decorative Dagger of Speed (Common)
The bearer gain a +1 bonus to initiative rolls",,,,,"The villain craves the respect, even friendship, of great heroes. ","You come to consciousness. Your eyes open, and theres an immediate numb feeling in your arms. You glance at them, but youre not laying on your back. Youre chained up. Your body slumps forward with a fierce pain in your shoulders. Chains clamped around your wrists, you look down. Your legs are also chained, not together, but to a wall. Panic sets in as you glance up you see other figures, your friends, all in the same predicament, except one man who seems to be in an iron cage. They are all unconscious to, slowly coming round. You have no gear, youre stripped back to just your clothes.",The party learns that theyre the stars of a show enjoyed by other-planar beings via divination magic.
chatty,Harengon,,a ghost town,is afraid of anyone taller than them,"A finely crafted handheld mirror made out of ivory, glass, and silver. Small runes are inscribed into the back, and words in a forgotten tongue glow softly around the handle. Whoever looks into the mirror will see themselves reflected, but in the background will be what the individual knows in his/her/its mind as home. In the presence of the mirror, all illusions fade, and all invisible creatures are revealed by glowing outlines. It was originally made by a wanderer who had recently returned home from a long journey to a strange land.","Eagle-eye Armor (Common)
The bearer can clearly see twice as far and gains advantage on Wisdom (perception) checks that use sight.",,,,,"The villain is acting under duress, compelled to do the villainous bidding of another.","The party all arrive at a dungeon at the same time, to answer the same advertisement asking for help retrieving an artifact. When they start to argue about whether or not they should work together and split the reward, they get ambushed by a small group of goblins.",An ally they met early on is revealed to be the person they were looking for.
childish,Hobgoblin,,a camp built on stone ruins,is afraid of the dark,A fishing net that will repair itself of any tears 12 hours after they happen. Commissioned as a retirement gift for a small town politician.,"Elven Rope Armor (Armor, leather): This armor has been masterfully woven from silk rope, and provides the same Armor Class as leather armor. You can use an action to speak its command word, causing the armor to unweave itself into 100 of rope. Speaking the command word a second time weaves the rope back into armor.",,,,,"The villain has a great taste for music, is accompanied by minstrels and will be very loath to harm any talented musician.","The party were all passengers on the same ship, when it was caught in a storm. Washing up on shore amping the wreckage, they seem to be the only survivors.","Players develop different insanity effects during the adventure, and it turns out some of the characters theyve talked with were psychosis-induced hallucinations from a powerful drug or other magic."
cocky,Human,,the suburbs,is always the last one to leave the bar,A fishing pole with a bobber that looks like a human eye. When using the pole one can look through the bobber and watch the hook and bait to see when the fish bites. Given to an old soldier as a retirement gift.,"Feather of Falling (Wondrous Item, single use): While falling, you can drop this feather as a reaction. It plummets to the ground and is destroyed on impact, while you descend 60 feet per round for up to 1 minute.",,,,,The villain is secretly working for some greater good.,"Party is chained together, walking behind a wagon. One of the guards mentions that you are all going to be sacrificed.",A nasty rumor about the party gains momentum until it divides the party from their allies.
compassionate,Kalashtar,,a small town with big Yeehaw energy,is an exhibitionist,A fist sized snail shell that magically produces table salt when shook. Made for a gardener to keep out pests.,"Floating Breastplate (Armor, breastplate): This breastplate of polished steel seems normal in every respect, but will float on water as long as it is not being worn.",,,,,The villain is motivated by undying vengefulness over a severe long-ago harm.,"As children, you were each enrolled in a cross-cultural pen pal association. You are meeting the other writers for the first time as adults.","The party learns that these events were all just a magically-induced dream. Only, it wasnt. Thats a lie fabricated by the villain to throw them off."
competitive,Kenku,,a neverending desert,is convinced theyve been sent on a divine quest,A frilly parasol that emits a small cone of magical darkness when opened. The gift of a nobleman for his vampire wife.,"Galloping Caltrops (Wondrous Item): After spreading this bag of caltrops on the ground, you can use a bonus action to speak a command word and activate them. Each of the caltrops grows four tiny horse legs, and follow a creature you choose or the next creature that enters the area. The galloping caltrops have a speed of 30 feet, and can move 1d6 times before becoming non-magical caltrops.",,,,,The villain desires to morally corrupt their opponents more than they desire any tangible gain.,You are all victims of a doppelganger who stole each of your identities.,A PC was only PRETENDING to be stupid -- theyre secretly a genius! (adjust INT score)
completely ordinary,Kobold,,a mountain made of glass,is doing their best,A frying pan and lid that materializes one fully cooked breakfast platter for one once per day when exposed to flame. Someones mother had it enchanted as a gift for their child who was leaving home so that they could always have a home cooked breakfast.,"Gauntlets of Water Walking (Wondrous Item): While wearing these steel gauntlets, you can stand on your hands on any liquid surface as if it were solid ground. To walk across the surface, you must make a Dexterity (Acrobatics) check. The DC equals 10 or the number of feet you attempt to move, whichever number is higher. If you fail, then you fall into the liquid and must begin swimming.",,,,,"The villain suffers pangs of conscience and may, under the right circumstance, be moved to repentance.","The group are all on a caravan together travelling from one town to a nearby city. During the day, bandits/orcs raid the caravan, killing and burning some of the wagons before they take off into the wilderness. The group emerges from the ruins of their caravans and are forced into a makeshift group... do you search after the raiders for revenge? Get back items stolen? Or do you continue on your way because you have more important business/mission to attend to?",The players discover a prophecy that is... weirdly specific.
confrontational,Leonin,,a hidden desert oasis,is escaping an arranged marriage,A glass teapot with hand shaped handles that bring water to a rolling boil almost instantly. Made for a waitress to alleviate her workload.,"Glamered Hat (Wondrous Item): While wearing this hat, you can use a bonus action to speak its command word, causing it to assume the appearance of some other kind of hat or helmet. You decide what it looks like, including color, style, etc. The illusory appearance lasts until you use this property again or remove the hat.
 ",,,,,"The villain is oddly stingy, reluctant to spend even relatively small amounts of their great resources.","The party has been asked to help protect a traveling carnival going to the next city over. All is well until one day, the strongman is found wounded in his tent, claiming a member of the carnival is was taken into the woods by whatever attacked him.",Oops! Tornado!
conscientious,Lizardfolk,,a popular island retreat,is haunted by the ghost of a man they killed in a duel,A gold colored hand bell that makes those within earshot recall the last time they were charitable. Made by a paladin so that she could more easily collect donations for charity.,"Glamered Javelin (Weapon, javelin): When you throw this javelin, it assumes the appearance of a fiery skull until just before it strikes something.",,,,,"The villain is a disguised impostor, having replaced the actual creator of the villainous organization.","They start at a traveling fair with various stalls selling food, crafts, and carnival games. The PCs then need to work together to stop a rampaging stampede of wolves.",
considerate,Loxodon,,a surf town ,is haunted by their fathers ghost,A gorilla jawbone necklace that helps your hair grow back. Made for a balding human as an anniversary gift.,"Hat of Guise (Wondrous Item): While wearing this hat, you can use an action to make yourself -- including your clothing, armor, weapons, and other belongings -- look like a goblin with glowing yellow eyes for up to 1 hour.",,,,,The villain wants to retire and is seeking or grooming a successor.,"The party is in an inn, and suddenly people outside start to scream, and a person kicks the door, screaming ""Dragon!"".",
controlling,Minotaur,,a recently gentrified slum,is haunted by their past,A green blanket that contorts to the body as though it were being embraced by a loved one. Anonymously donated to a young half orc at a nearby orphanage.,"Hewing Handaxe (Weapon, handaxe): You gain a +1 bonus to attack and damage rolls made with this magical handaxe against creatures with the plant type. When you slay a plant creature with the handaxe, it is instantly transformed into half its weight of dry firewood and kindling.",,,,,"The villain is proud of their own talents in some type of art (fine art, performance, whatever) and appreciates (or demands) flattery.","The party is attending to a mutual friends wedding. Something bad happens during the event, and drives the party into adventure.",
courageous,Orc,,the smallest mountain in the world,is polite to a fault,A hand knitted hat that will keep the wearer cool when it's hot and warm when it's cold. Commissioned for a man who had no hair by his sister.,"Horn of the Halfling Herald (Wondrous Item): After blowing this small horn, any halfling who could hear it can hear you speak, regardless of how loud you speak, other noise, etc. The effect lasts for one minute, and the horn can only be used once per hour.",,,,,The villain treats it all as a game. They don't take anything too seriously.,"The party is in a big castle, attending some sort of event. A random fire begins, and threatens to quickly destroy the whole building. The party must escape, as they decide who, among all the people in danger, they are gonna save.",
courteous,Satyr,,a completely normal hill,just wants a best friend,A hooded cloak made of various patches of leather that has a belt fasten to the front. It generates heat on the wearer if blown upon by wind. It was made as gift for a lover so that they could travel the mountain ranges without worry of freezing.,"Hourglass of the Shepherd (Common)
The bearer gains a +1 bonus to (Wisdom) Animal Handling checks.",,,,,The villain is a gentleman and always shows decency and consideration. They offer a handkerchief to a fallen foe.,"The city is burning. Enemies run through the streets, slaughtering all the citizens they see, with little to no resistance. Luckily, the party members werent attacked yet, but they must find a way to leave. All of the city gates are guarded by enemy soldiers.",
cowardly,Shifter,,an underground bunker,knows a dangerous secret,A knife and fork set made from Mithril with small runes embed in the handles. When the fork is inserted into food (non-living material) it allows the knife to cut through it with little to no resistance. Made as a gift from a wife to her husband so that he wouldnt waste time sawing through her cooking like a log.,"Iron Oculus (Wondrous Item): This hollow iron sphere is inscribed with an eye-like iris, and a brass hinge and clasp allow it to open. You can use an action to hold the open oculus to your eye and speak its command word. Your eye is drawn into the sphere, leaving an empty socket. While your eye is trapped and you are holding the oculus, you have darkvision out to a range of 120 feet, and can detect polymorphed and shapechanged creatures and objects within 120 feet. You can use another action to return your eye from the oculus.",,,,,The villain's shadow is slightly independent and desynced with his body.,"The party is approached by a man who claims to be stuck in a time loop [think Groundhog Day]. He says they already helped him before, and is very close to figuring out how to break free from the loop. He is able to provide the party with any evidence they ask for.",
creative,Simic Hybrid,,a life on the road,LARPs on the weekends,"A large conch shell that, when put to the ear, makes the wielder hear the sounds of the ocean. If you close your eyes while doing so, youll see visions of infinite horizons and calming ocean waves. A gift from a pirate lord to his estranged, landlocked son to give him at least a glance as to why he left.","Mimicking Rapier (Common)
When the bearer places this weapon beside another melee weapon for 1 minute, this weapon changes weapon type, size, and physical qualities to become an exact replica of the other weapon. It does not gain any of the other weapons magical properties.",,,,,The villain finds killing their enemies distasteful and prefers to petrify them to restore them after their goal is accomplished.,"The party hears word of a man who claims to be a prophet of the apocalypse. The man was arrested for disturbing the peace, but the party begins to find evidence for his predictions coming true... [that doesnt mean there will be an apocalypse, just that the man predicted many elements of the plots main conflict.]",
